district,รายได้ภาษีโรงเรือน,รายได้ภาษีท้องที่,รายได้ภาษีป้าย,รายได้ค่าปรับ,สมรส,หย่าร้าง,ครู กทม,เรื่องร้องทุกข์,ปริมาณขยะ (ตัน),จำนวนคลอง,ปริมาณน้ำฝน (มม),พื้นที่สวน (ตรม.),ประชากร,อาบอบนวด,ศูนย์การค้า,โรงภาพยนตร์,วัด
คลองเตย,1.80E+08,2816507.12,1.69E+07,1079950,181,91,133,323,123375.07,4,1166.2,566892,107221,171,6,6,5
คลองสาน,4.39E+07,900723.11,5385920.5,570850,183,78,222,265,45362.27,4,957.9,213848,75224,-,2,1,8
คลองสามวา,2.10E+07,1477448.58,3944852.15,52650,340,180,708,343,60062.73,5,1205.5,571420,178958,-,-,-,10
คันนายาว,3.01E+07,1076510.96,7823189.3,377150,296,121,103,219,44940.93,5,1379,1886108.56,92094,-,5,1,2
จตุจักร,1.02E+08,2358338.71,2.05E+07,1315800,624,293,391,816,132541.73,5,1402.5,1750010.16,160366,44,6,3,2
จอมทอง,5.76E+07,1224018.06,3593362.1,146050,276,99,490,371,73694.79,12,1090.3,351824,156030,5,1,-,16
ดอนเมือง,5.33E+07,1635159.14,5444595,19700,516,268,442,222,61924.77,2,1018.7,531132,168197,7,-,-,8
ดินแดง,5.94E+07,1194887.45,8983976,836150,252,138,294,519,99857.15,6,1072.5,237110.4,127260,8,3,1,2
ดุสิต,3.10E+07,961630.52,2426821.2,1013250,395,148,233,204,62915.62,3,1298,365977.2,104394,-,4,1,17
ตลิ่งชัน,3.01E+07,1102319.06,3448937.78,209650,242,153,299,300,46197.79,5,1040.9,1236932,105857,1,1,-,25
ทวีวัฒนา,9519351.35,1197124.43,3395920.68,77350,235,85,264,167,35221.33,8,1095.8,1092565.12,77121,-,-,-,3
ทุ่งครุ,2.02E+07,753372.16,2190246.8,208850,354,85,397,269,44073.77,2,1054.2,473462.76,119349,-,3,-,5
ธนบุรี,6.04E+07,1039654.56,6594979.45,444500,218,71,307,313,58793.52,7,1040.9,177969,115330,1,3,1,26
บางกอกน้อย,5.93E+07,1212099.43,9228612.13,758400,291,117,264,343,68311.84,7,1197,306168,116653,-,4,14,28
บางกอกใหญ่,1.97E+07,766320.73,1526691.4,120050,212,87,122,130,29936.32,3,1044.8,98048,70003,-,-,-,14
บางกะปิ,1.16E+08,3104613.86,1.09E+07,845850,330,185,572,706,119561.54,8,1100.4,765112.38,148964,8,10,31,6
บางขุนเทียน,6.50E+07,1588338.44,7435954.8,573250,714,341,816,503,100637.34,10,1019.3,1211372.64,173144,-,5,9,14
บางเขน,6.48E+07,699925.25,7945757.12,116150,613,282,307,549,94551.77,1,1231,572784,190659,-,4,2,5
บางคอแหลม,6.24E+07,2602160.43,4767927.7,388350,221,123,214,228,49387.07,11,819.5,271777.36,92273,-,3,-,11
บางแค,4.22E+07,1559640.3,7263027.38,686850,634,183,553,528,95859.89,11,1146.5,272248,191966,3,5,2,7
บางซื่อ,4.92E+07,1934447.4,3849964.7,504650,600,232,205,353,55616.92,10,1411,215460,128995,1,3,-,9
บางนา,1.02E+08,3876445.56,8289597.7,468950,523,180,353,358,80428.07,1,1270,279844,94315,-,2,1,4
บางบอน,4.30E+07,1169789.82,5620342.78,126250,246,96,358,240,74829.6,4,1055,890232,107140,-,3,-,3
บางพลัด,3.83E+07,918524.08,5762063.6,258900,148,107,227,229,53022.55,8,1158.4,203064.78,96787,7,4,14,23
บางรัก,2.20E+08,1281496.71,1.28E+07,3803850,3902,223,63,310,58888.59,1,1460.9,120068.04,46472,-,2,-,5
บึงกุ่ม,3.04E+07,1190154.6,6407383.1,354750,334,119,430,446,68234.58,6,1079.5,902473.2,145514,1,5,-,4
ปทุมวัน,2.52E+08,1036059.96,1.56E+07,1598425,162,70,202,399,102164.88,5,987.5,713280,51557,1,12,5,7
ประเวศ,8.70E+07,2835373.25,9076533.3,658100,632,200,571,491,100039.91,20,1344.3,2822260,166364,2,5,2,6
ป้อมปราบศัตรูพ่าย,1.02E+08,679761.48,6849953.9,3594550,729,89,60,254,30773.1,2,973,271279,49280,1,2,-,11
พญาไท,6.12E+07,2396699.9,6402200.86,354500,301,155,49,319,56102.81,1,1032.7,148320,72203,-,2,1,1
พระโขนง,4.15E+07,2214102.28,4897540.8,356550,375,182,146,397,56855.12,7,1170.3,261424,92448,-,-,-,4
พระนคร,7.20E+07,1304677.26,6307748.48,2370100,182,96,150,434,69299.5,5,985,568117.8,55373,-,6,-,24
ภาษีเจริญ,4.68E+07,948002.43,3674019.4,190950,531,140,520,383,56299.54,14,1118.8,381743.88,129238,1,1,10,24
มีนบุรี,4.16E+07,1530834.65,7970775.54,310950,585,210,511,327,70706.48,7,1353.6,1076918.24,139771,3,6,-,6
ยานนาวา,1.12E+08,3133940.64,1.10E+07,333400,261,124,179,289,64219.38,3,963,465028,80843,42,4,9,9
ราชเทวี,1.50E+08,1622013.54,1.60E+07,1420350,349,112,131,341,70191.22,1,1004,697924.64,73790,6,15,8,7
ราษฎร์บูรณะ,4.32E+07,892017.26,4393435.34,387500,242,117,277,150,42497.82,5,1031.3,338589,84881,-,3,1,9
ลาดกระบัง,1.03E+08,2233573.37,6666900.22,530950,618,221,802,485,90386.71,8,1193.5,515804,168309,-,-,-,13
ลาดพร้าว,4.40E+07,1993509.09,6627365.2,219550,407,178,277,466,61136.23,3,1122.2,607291,122196,-,5,-,4
วังทองหลาง,6.54E+07,618053.98,5564876.06,265300,390,127,69,467,82777.04,6,1160,138360,114245,1,1,1,1
วัฒนา,2.27E+08,2673280.1,1.44E+07,1022050,338,149,244,594,102550.7,5,1019.4,98468,83520,169,8,16,2
สวนหลวง,8.32E+07,2964035.94,1.06E+07,265450,413,135,293,510,86217.6,14,1086.2,654584,118371,14,4,-,8
สะพานสูง,2.47E+07,1112109.7,2936434.09,35150,230,93,203,294,43415.08,9,1193.5,360740.72,92735,3,5,-,1
สัมพันธวงศ์,2.88E+07,211587.57,7720258.04,3299150,133,43,34,105,20630.96,1,928,41646,26359,1,2,1,15
สาทร,1.77E+08,1898832.78,8949550.2,697850,233,180,54,308,65347.55,4,1086.5,310529.44,82432,-,2,-,3
สายไหม,2.91E+07,1048224.99,4159637.27,269000,1098,330,601,319,69603.82,2,1289.2,721989,194511,2,2,-,8
หนองแขม,3.95E+07,1461065.83,6028586.5,101400,425,204,437,217,63247.08,7,1061.2,759516,153175,-,2,-,6
หนองจอก,2.41E+07,1556690.31,2606567.45,102350,769,296,850,183,43346.67,6,1234,1394382,162598,-,3,-,16
หลักสี่,4.84E+07,647793.35,5279721.4,194150,797,201,302,221,55536.33,5,950.7,1826636.56,107797,2,4,1,1
ห้วยขวาง,1.32E+08,4146783.97,1.24E+07,871600,495,1658,162,346,73513.35,7,1230,325157.8,80002,22,1,1,2
